SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
M,Haruka gets flustered. She’s not really good with compliments. You’ve had a lot of impact on meXYZ Haruka.,default,SPRING bittersweet,BG blossoms
,,,,
MC,Moving time is the only thing guaranteed in life. But I was afraid of the only thing that wasn’t temporary. The only thing that... could take things away. However...,none,SPRING bittersweet,BG blossoms
,,,,
MC,...you also knew that pain. Yet were somehow so cheerful all the timeXYZ and helpful... it made me really wonderXYZ how? How are you okay with time passing byXYZ when everything you know might disappear tomorrow,none,SPRING bittersweet,BG blossoms
,,,,
Haruka,A-Ah…,default,SPRING bittersweet,BG blossoms
,,,,
MC,ButXYZ by spending all this time with youXYZ I think... I see how. I couldn’t see it then butXYZ I’ve changed. I’ve...  been healing... Because time passed by...,none,SPRING bittersweet,BG blossoms
,,,,
M,Because time passed by with you…,default,SPRING bittersweet,BG blossoms
,,,,
Haruka,Hehe. You really haveXYZ changed. I can’t make fun of you for being dark anymoreXYZ can I? Hehe,default,SPRING bittersweet,BG blossoms
,,,,
Haruka,I think time passing truly is a scary thing. But you’re rightXYZ it’s the only thing we’re guaranteed in this life. But it’s a good thingXYZ I think. Passing time means we have time to healXYZ and time to find happier things.,default,SPRING bittersweet,BG blossoms
,,,,
M,But...,default,SPRING bittersweet,BG blossoms
,,,,
Haruka,Like you! If time just stoppedXYZ I would have never met you.,default,SPRING bittersweet,BG blossoms
,,,,
M,But!,default,SPRING bittersweet,BG blossoms
,,,,
Haruka,So I’m grateful for time. Even if it has taken away things precious to me. I am still grateful.,default,SPRING bittersweet,BG blossoms
,,,,
M,But!!!,default,SPRING bittersweet,BG blossoms
,,,,
M,But it takes away so much tooXYZ Haruka!,default,SPRING sad,BG blossoms
,,,,
M,My fists clench. This momentXYZ right nowXYZ I am so terribly happy. But that happiness is what makes me so terribly afraid.,default,SPRING sad,BG blossoms
,,,,
M,I’m afraid. But... I don’t want to ruin this... moment with her.,default,SPRING sad,BG blossoms
,,,,
M,I have to go to *that* place again. I have to know the right thing to say. So I can treasure this moment properly.,default,SPRING sad,BG blossoms
,,,,
M,PleaseXYZ guide me again. Even if it’s the last timeXYZ pleaseXYZ make it count.,default,SPRING sad,BG blossoms
