SPEAKER,CONVO,SPRITE,AUDIO,BACKGROUND
M,Nostalgia is an interesting feeling. It initially feels happy and warmXYZ but as the feeling sets inXYZ I start to feel strangely empty. Maybe that’s why I don’t enjoy this town in the same way Natsuki does.,default,SUMMER relax,BG livingroom
,,,,
Natsuki,Hey idiot…,sad_surprise2,SUMMER relax,BG livingroom
,,,,
Natsuki,I know it’s hardXYZ but it’s good to talk about herXYZ you know. Memories are what keep people alive.,sad_tsundere2,SUMMER relax,BG livingroom
,,,,
MC,Y-Yeah… I guess that’s true.,none,SUMMER relax,BG livingroom
,,,,
Natsuki,I understand it’s difficult at firstXYZ though. It’s not completely the same butXYZ when you leftXYZ I avoided so many placesXYZ ‘cause all they brought were memories of y-you…,sad_surprise2,SUMMER relax,BG livingroom
,,,,
Natsuki,I thought it’d be easier to pretend you never existed. But that’s kinda hard to do in a little townXYZ where every part of it had my favor-- I-I meanXYZ some memories to them…,sad_surprise2_blush,SUMMER relax,BG livingroom
,,,,
Natsuki,So eventually I came to accept that you were goneXYZ but the memories weren’t. So a piece of you would still be hereXYZ in this town... It’s nice right? That even after people leave or kick the bucket or whatever…,sad_tsundere2_blush,SUMMER relax,BG livingroom
,,,,
Natsuki,...they still leave a part of them behind...,neutral,SUMMER relax,BG livingroom
,,,,
Natsuki,And soon enoughXYZ those places I used to avoid became places of comfortXYZ because of those memoriesXYZ so...,neutral_blush,SUMMER relax,BG livingroom
,,,,
Natsuki,S-So what I mean! Is that unless you get bonked on the head or somethingXYZ those memories with your mom are permanent.,surprise2_blush,SUMMER relax,BG livingroom
,,,,
M,Permanent… that’s interesting. I see what she means nowXYZ how they keep people alive.,default,SUMMER relax,BG livingroom
,,,,
MC,...,none,SUMMER relax,BG livingroom
,,,,
M,Thank youXYZ Natsuki.,default,SUMMER relax,BG livingroom
,,,,
MC,Heh. You’ve grown up a lot.,none,SUMMER relax,BG livingroom
,,,,
Natsuki,G-Grown up? Shut up loser we’re like the same age. I didn’t even say anything… I just like this town a lot…,tsundere2_blush,SUMMER relax,BG livingroom
,,,,
MC,Whatever. And for the recordXYZ my mom would scold *you* for bringing dirt into the house. I was never as filthy as youXYZ pig.,none,SUMMER relax,BG livingroom
,,,,
Natsuki,P-Pig!? I’m going to punch your little city boy mouthXYZ ya hear???,surprise,SUMMER relax,BG livingroom
,,,,
M,Natsuki usually acts without tactXYZ but... she says some very wise things at times. Things that… have helped me heal. She’s rightXYZ I shouldn’t be afraid to talk about my mother. After allXYZ we had a lot of wonderful memoriesXYZ especially in this town…,default,SUMMER relax,BG livingroom
,,,,
M,Maybe I’m starting to see the appeal of nostalgia. Just a bit.,default,SUMMER relax,BG livingroom
,,,,
MC,A-AnywaysXYZ go finish your math homework so we can do something fun. It’s bright outXYZ I’m sick of being inside.,none,SUMMER relax,BG livingroom
,,,,
Natsuki,HmphXYZ don’t tell me what to do. I was just takin’ a little break.,tsundere,SUMMER relax,BG livingroom
,,,,
M,SighXYZ Natsuki. Some things will never change. I admire how much time she invests into her teamXYZ but now she’s in remedial classes because of it. I feel like I’m a bit of a distraction nowXYZ too.,default,SUMMER relax,BG livingroom
,,,,
M,She’s given me amazing advice and has been a source of familiarity and comfort while I was finding my way at this school. The least I can do is support herXYZ but… she can’t afford to repeat her senior year of high school either.,default,SUMMER relax,BG livingroom
,,,,
MC,Natsuki…,none,SUMMER relax,BG livingroom
,,,,
Natsuki,Hm? Didn’t you tell me to do my work!? Idiot…,surprise,SUMMER relax,BG livingroom
,,,,
MC,OhXYZ r-right…,none,SUMMER relax,BG livingroom
,,,,
MC,...,none,SUMMER relax,BG livingroom
,,,,
M,I want to support herXYZ but I don’t want to say the wrong thing and encourage her to fail her classes. I know how much her team means to herXYZ but…,default,SUMMER relax,BG livingroom
,,,,
M,I know what I have to do. I need to go back to *that* placeXYZ and unlock the right words.,default,SUMMER relax,BG livingroom
,,,,
M,I want to support her.,default,SUMMER relax,BG livingroom
